"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.0","1017.8","1021.0","2021-01-01 00:26","1005.9","2021-01-22 14:48","19.8","27.1","2021-01-26 12:42","12.8","2021-01-15 06:12","13.3","4.6","40","26.2","80","2021-01-29 09:58","2.5","5.0","2","0.5","2021-01-22 01:54","0.5","2021-01-22 01:54","2.0","2021-01-22 00:00","67","133.6","198.1","449.02","...","...","...","4.6"
"02","1013.2","1016.0","1022.2","2021-02-18 20:54","1003.6","2021-02-11 13:46","21.5","28.4","2021-02-26 12:40","13.8","2021-02-21 05:12","15.9","3.6","50","23.6","10","2021-02-18 00:22","20.0","14.5","4","6.5","2021-02-11 05:44","13.5","2021-02-11 05:43","17.0","2021-02-11 00:00","72","115.8","195.7","482.72","...","...","...","4.0"
"03","1012.0","1014.8","1019.1","2021-03-22 23:31","1002.9","2021-03-30 15:31","24.2","31.1","2021-03-17 12:59","18.3","2021-03-23 00:11","19.0","3.1","40","25.6","350","2021-03-22 07:29","2.0","4.4","1","1.5","2021-03-28 00:58","2.0","2021-03-28 00:58","2.0","2021-03-28 00:00","74","156.2","209.2","576.56","...","...","...","4.1"
"04","1010.2","1013.0","1017.0","2021-04-11 09:59","1002.3","2021-04-23 15:35","25.1","31.6","2021-04-03 10:48","20.9","2021-04-06 04:45","19.5","3.0","40","26.1","40","2021-04-18 00:32","0.5","5.9","1","0.5","2021-04-22 06:47","0.5","2021-04-22 06:47","0.5","2021-04-22 00:00","72","156.4","148.0","512.88","...","...","...","5.9"
"05","1007.6","1010.3","1013.1","2021-05-06 08:20","1000.9","2021-05-30 16:43","29.0","34.1","2021-05-24 13:13","22.8","2021-05-02 05:13","24.4","2.2","280","14.5","70","2021-05-03 13:06","4.0","2.0","2","2.0","2021-05-31 10:33","2.5","2021-05-31 10:30","3.0","2021-05-31 00:00","77","197.4","241.1","716.72","...","...","...","4.4"
"06","1004.6","1007.3","1009.6","2021-06-12 23:21","997.9","2021-06-04 18:09","28.2","35.4","2021-06-03 12:38","23.7","2021-06-24 01:31","25.4","2.6","280","15.1","270","2021-06-16 12:14","589.5","79.3","23","16.5","2021-06-28 20:48","54.0","2021-06-24 00:54","129.0","2021-06-24 00:00","85","104.4","140.7","524.36","...","...","...","7.3"
"07","1002.4","1005.2","1010.9","2021-07-10 22:30","987.9","2021-07-23 16:47","28.8","33.7","2021-07-14 11:41","24.0","2021-07-31 16:39","25.6","2.6","100","19.5","310","2021-07-23 04:42","402.0","46.6","18","15.0","2021-07-31 05:50","38.0","2021-07-30 11:54","128.0","2021-07-31 00:00","83","150.2","214.7","626.88","...","...","...","5.4"
"08","1005.1","1007.8","1011.6","2021-08-30 09:51","995.2","2021-08-02 15:57","28.1","33.0","2021-08-27 12:47","24.3","2021-08-30 10:09","25.5","2.0","270","17.8","240","2021-08-06 14:36","835.0","68.1","21","23.0","2021-08-08 06:11","73.0","2021-08-02 04:09","174.5","2021-08-08 00:00","87","121.2","163.1","493.24","...","...","...","6.5"
"09","1006.8","1009.6","1013.1","2021-09-23 21:30","991.5","2021-09-12 01:03","28.6","33.4","2021-09-04 13:31","23.7","2021-09-30 04:29","24.9","2.2","100","17.8","280","2021-09-12 10:10","140.5","27.8","17","11.0","2021-09-20 10:55","16.5","2021-09-20 10:55","43.5","2021-09-11 00:00","81","146.8","236.0","619.55","...","...","...","4.5"
"10","1009.4","1012.1","1016.3","2021-10-30 08:43","991.0","2021-10-11 18:44","26.9","32.5","2021-10-02 12:30","22.8","2021-10-21 05:53","22.0","4.5","40","34.6","30","2021-10-11 22:09","378.0","41.2","11","14.5","2021-10-14 04:47","49.5","2021-10-14 04:24","85.5","2021-10-14 00:00","75","147.0","188.7","519.73","...","...","...","5.7"
"11","1012.1","1014.9","1017.1","2021-11-28 08:28","1005.0","2021-11-06 13:52","24.3","31.0","2021-11-06 10:59","20.0","2021-11-10 06:04","19.3","4.0","40","26.9","70","2021-11-27 09:54","20.0","26.4","7","1.0","2021-11-25 14:49","3.0","2021-11-25 15:52","9.0","2021-11-29 00:00","74","114.1","151.1","409.01","...","...","...","5.4"
"12","1015.8","1018.6","1022.7","2021-12-27 08:17","1008.7","2021-12-21 14:53","22.0","28.1","2021-12-24 13:16","18.5","2021-12-06 04:12","16.1","4.9","40","30.0","310","2021-12-17 20:20","5.5","14.2","5","1.5","2021-12-15 07:06","2.5","2021-12-15 07:00","3.0","2021-12-15 00:00","70","124.3","166.3","415.42","...","...","...","5.7"
