"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.1","1018.9","1025.3","2010-01-14 09:26","1009.9","2010-01-02 15:04","21.3","29.3","2010-01-25 14:16","15.6","2010-01-11 04:30","15.0","4.2","40","27.1","40","2010-01-26 03:43","19.3","7.7","6","2.5","2010-01-28 13:13","5.0","2010-01-25 17:30","10.0","2010-01-28 00:00","68","115.4","176.1","447.08","...","...","...","4.8"
"02","1013.0","1015.8","1018.7","2010-02-18 10:50","1007.7","2010-02-26 15:22","22.7","30.1","2010-02-11 13:04","15.6","2010-02-22 06:21","18.1","2.3","350","21.7","50","2010-02-16 12:45","0.2","0.5","1","0.1","2010-02-18 10:50","0.2","2010-02-18 10:47","0.2","2010-02-18 00:00","76","99.1","158.8","438.06","...","...","...","5.1"
"03","1013.4","1016.2","1022.4","2010-03-10 09:35","1005.6","2010-03-24 15:50","23.9","32.0","2010-03-14 13:35","15.3","2010-03-11 02:17","18.4","3.4","40","27.0","30","2010-03-28 23:36","4.1","2.1","2","1.5","2010-03-19 09:18","2.5","2010-03-19 09:15","3.5","2010-03-19 00:00","72","138.9","196.6","565.05","...","...","...","4.8"
"04","1011.3","1014.1","1017.7","2010-04-30 08:15","1005.3","2010-04-12 15:48","24.9","32.4","2010-04-21 12:59","18.8","2010-04-30 08:14","19.1","3.4","40","24.7","40","2010-04-13 23:24","19.5","9.1","4","1.5","2010-04-30 08:03","4.5","2010-04-28 15:29","10.5","2010-04-28 00:00","71","151.4","170.8","566.21","...","...","...","5.2"
"05","1006.5","1009.2","1014.0","2010-05-01 09:49","999.9","2010-05-23 14:00","27.2","33.0","2010-05-27 12:57","22.5","2010-05-24 18:58","22.3","2.5","90","16.4","50","2010-05-01 23:14","253.7","45.8","11","10.5","2010-05-29 06:14","26.5","2010-05-30 11:20","65.5","2010-05-30 00:00","75","149.8","188.2","619.73","...","...","...","5.9"
"06","1006.0","1008.7","1008.9","2010-06-22 22:31","1000.7","2010-06-25 04:27","28.0","34.0","2010-06-30 15:13","23.2","2010-06-03 00:57","24.9","2.4","290","18.7","60","2010-06-02 20:02","196.8","29.9","13","10.5","2010-06-24 15:21","21.0","2010-06-05 12:12","64.0","2010-06-12 00:00","84","126.9","162.8","582.59","...","...","...","6.0"
"07","1006.5","1009.3","1010.1","2010-07-17 21:49","1002.1","2010-07-05 15:46","28.6","33.4","2010-07-20 12:42","24.0","2010-07-27 09:10","25.3","2.5","290","15.7","290","2010-07-06 10:13","381.7","50.2","16","15.0","2010-07-14 21:58","51.0","2010-07-30 12:49","94.0","2010-07-30 00:00","82","140.9","201.8","634.56","...","...","...","5.8"
"08","1005.5","1008.3","1012.0","2010-08-19 10:18","997.6","2010-08-31 14:54","28.6","33.1","2010-08-05 12:47","22.8","2010-08-25 05:44","25.0","2.1","100","15.8","90","2010-08-25 04:53","278.3","39.8","21","14.0","2010-08-29 18:10","23.0","2010-08-30 10:14","41.0","2010-08-29 00:00","81","138.7","186.2","617.90","...","...","...","5.9"
"09","1006.6","1009.4","1012.2","2010-09-26 10:14","991.5","2010-09-19 09:09","27.4","32.6","2010-09-11 13:56","23.2","2010-09-19 20:51","24.2","2.6","100","27.4","280","2010-09-19 09:54","847.6","105.7","20","14.5","2010-09-09 14:39","42.0","2010-09-07 17:10","150.5","2010-09-19 00:00","83","103.7","146.2","453.27","...","...","...","6.3"
