"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.8","1019.1","1015.2","2021-01-01 08:58","999.0","2021-01-22 15:01","16.0","30.4","2021-01-21 13:15","6.7","2021-01-13 05:02","10.3","1.5","20","12.2","20","2021-01-28 12:48","5.0","16.8","3","0.5","2021-01-11 03:07","1.0","2021-01-11 03:07","3.5","2021-01-12 00:00","71","74.9","225.9","449.75","...","...","...","3.6"
"02","1006.6","1016.7","1014.7","2021-02-19 09:25","998.1","2021-02-26 15:50","19.0","28.5","2021-02-26 11:55","12.0","2021-02-19 02:14","12.9","1.3","360","12.4","320","2021-02-17 14:10","23.5","12.1","2","2.0","2021-02-11 04:06","7.5","2021-02-11 03:48","20.0","2021-02-11 00:00","70","84.4","229.9","498.79","...","...","...","2.9"
"03","1005.6","1015.6","1012.5","2021-03-22 09:39","995.6","2021-03-29 16:18","21.5","31.4","2021-03-28 12:06","12.7","2021-03-22 16:30","16.2","1.4","340","12.6","10","2021-03-21 16:35","29.0","16.7","3","9.5","2021-03-06 23:02","11.5","2021-03-06 22:55","15.0","2021-03-24 00:00","73","109.0","213.1","541.21","...","...","...","4.9"
"04","1003.3","1013.3","1010.4","2021-04-11 08:02","994.9","2021-04-23 16:09","23.9","32.5","2021-04-02 13:06","17.3","2021-04-06 06:10","17.8","1.5","360","11.6","360","2021-04-23 15:11","8.0","9.1","2","1.5","2021-04-29 09:06","3.0","2021-04-29 08:54","7.5","2021-04-29 00:00","70","118.2","175.7","541.79","...","...","...","5.3"
"05","1000.5","1010.2","1006.5","2021-05-06 07:20","994.4","2021-05-30 16:52","28.8","37.0","2021-05-16 12:39","19.9","2021-05-02 05:24","22.5","1.7","200","10.9","200","2021-05-29 15:51","235.0","21.1","2","15.5","2021-05-30 17:29","43.5","2021-05-30 16:39","171.5","2021-05-30 00:00","70","147.4","223.8","667.39","...","...","...","5.4"
"06","997.6","1007.4","1003.4","2021-06-12 21:42","992.3","2021-06-04 15:07","27.8","35.0","2021-06-03 13:39","23.2","2021-06-09 05:03","24.0","1.4","200","12.0","240","2021-06-12 18:27","645.5","95.4","20","13.0","2021-06-21 03:53","56.0","2021-06-21 03:24","197.5","2021-06-21 00:00","81","88.6","122.3","483.21","9","13","2021-06-17 12:00","7.6"
"07","995.5","1005.2","1004.1","2021-07-07 22:40","982.6","2021-07-23 17:21","29.0","35.0","2021-07-05 14:38","22.5","2021-07-13 18:16","24.4","1.6","200","15.3","40","2021-07-23 13:24","132.0","37.2","11","11.5","2021-07-26 10:35","23.5","2021-07-13 17:30","28.5","2021-07-23 00:00","77","110.9","179.2","607.15","...","...","...","6.0"
"08","997.8","1007.5","1004.7","2021-08-16 07:31","984.9","2021-08-07 03:29","27.8","34.6","2021-08-29 13:26","23.0","2021-08-26 05:34","24.1","1.3","190","14.3","190","2021-08-06 23:36","813.0","104.2","16","19.0","2021-08-10 14:56","61.0","2021-08-10 14:49","204.5","2021-08-01 00:00","81","105.9","166.8","517.70","...","...","...","6.6"
"09","999.8","1009.5","1005.9","2021-09-23 23:22","984.3","2021-09-12 02:28","29.0","34.7","2021-09-09 13:56","23.5","2021-09-03 21:42","23.7","1.2","350","10.9","340","2021-09-12 14:36","42.5","13.1","6","7.0","2021-09-12 08:43","14.0","2021-09-12 08:27","24.0","2021-09-12 00:00","74","104.5","207.0","551.55","...","...","...","4.8"
